nohup: ignoring input
 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 244-742-315
127.0.0.1 - - [08/Oct/2025 11:01:21] "POST /login HTTP/1.1" 404 -
127.0.0.1 - - [08/Oct/2025 11:02:02] "POST /login/admin HTTP/1.1" 401 -
127.0.0.1 - - [08/Oct/2025 11:02:24] "POST /login/admin HTTP/1.1" 500 -
127.0.0.1 - - [08/Oct/2025 11:03:35] "POST /login/admin HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:03:44] "GET /admin/sellers/orders-stats HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:03:55] "GET /admin/sellers/2/orders HTTP/1.1" 200 -
 * Detected change in '/home/moonlover/Development/code/Garissa-e-commerce/Backend/routes/admin_routes.py', reloading
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 244-742-315
127.0.0.1 - - [08/Oct/2025 11:06:11] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:06:11] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:06:19] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:06:20] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:06:24] "OPTIONS /login/admin HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:06:25] "POST /login/admin HTTP/1.1" 401 -
127.0.0.1 - - [08/Oct/2025 11:06:36] "OPTIONS /login/admin HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:06:37] "POST /login/admin HTTP/1.1" 401 -
127.0.0.1 - - [08/Oct/2025 11:07:38] "OPTIONS /login/admin HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:39] "POST /login/admin HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:39] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:40] "GET /api/notifications HTTP/1.1" 404 -
127.0.0.1 - - [08/Oct/2025 11:07:40] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:40] "GET /admin/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:40] "GET /api/notifications HTTP/1.1" 404 -
127.0.0.1 - - [08/Oct/2025 11:07:40] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:40] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:40] "GET /admin/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:41] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:41] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:41] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:41] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:41] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:41] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:41] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:42] "GET /check-auth HTTP/1.1" 200 -
127.0.0.1 - - [08/Oct/2025 11:07:42] "GET /check-auth HTTP/1.1" 200 -
